Name;IATA;ICAO;Callsign;Country
Atlantis European Airways;TD;LUR;;Armenia
Atlantis Transportation Services;;ATE; Ltd.;ATLANTIS CANADA
Atlant-Soyuz Airlines;3G;AYZ;ATLANT-SOYUZ;Russia
Atlas Air;5Y;GTI;GIANT;United States
Atlas Airlines;;ATR;ATLAS-AIR;United States
Atlas Aviation Group;;IRH;ATLAS AVIA;Iran
Atlas Blue;8A;BMM;ATLAS BLUE;Morocco
Atlas Cargo Lines;;ACY;ATLAS CARGOLINES;Morocco
Atlas Helicopters;;TDT;TRIDENT;United Kingdom
AtlasGlobal Ukraine;;UJX;Atlas Ukraine;Ukraine
Atlasjet;KK;KKK;ATLASJET;Turkey
ATMA;;AMA;ADIK;Kazakhstan
ATRAN Cargo Airlines;V8;VAS;ATRAN;Russian Federation
ATS Private Company;;CPF;TECHSERVICE;Ukraine
ATTICO;;ETC;TRANATTICO;Sudan
Atuneros Unidos de California;;UND;ATUNEROS UNIDOS;Mexico
ATUR;;TUR;;Ecuador
Atyrau Air Ways;IP;JOL;EDIL;Kazakhstan
Auckland Regional Rescue Helicopter Trust;;WPR;WESTPAC RESCUE;New Zealand
Audeli Air;;ADI;AUDELI;Spain
Audi Air;;AUD; Inc.;AUDI AIR
Augsburg Airways;IQ;AUB;AUGSBURG-AIR;Germany
Augusta Air Luftfahrtunternehmen;;AUF;AUGUSTA;Germany
Auo Airclub AIST-M;;ISM;STORK;Russia
AUOS;;AUK;AUOS;United Kingdom
Aur Rum Benin;;RBE;RUM BENIN;Benin
Aurela;;LSK;AURELA;Lithuania
Aurigny Air Services;GR;AUR;AYLINE;United Kingdom
Aurora Airlines;;URR;AIR AURORA;Slovenia
Aurora Aviation;;AUU; Inc.;AURORA AIR
Aus-Air;NO;AUS;;Australia
Austin Express;;TXX;COWBOY;United States
Austral Brasil;W7;\N;;Brazil
Austral Lineas Aereas;AU;AUT;AUSTRAL;Argentina
Australia Asia Airlines;;AAU;AUSTASIA;Australia
Australian air Express;;XME;AUS-CARGO;Australia
Australian Airlines;AO;AUZ;AUSTRALIAN;Australia
Australian Customs Service;;CWP;COASTWATCH;Australia
Australian Maritime Safety Authority;;RES;RESCUE;Australia
Australian Wetleasing;;AWL;AUSSIEWORLD;Australia
Austrian Airlines;OS;AUA;AUSTRIAN;Austria
Austrian Airtransport;;AAT;;Austria
Austro Aereo;;UST;AUSTRO AEREO;Ecuador
Auvia Air;;UVT;AUVIA;Indonesia
Av Atlantic;;KYC;DOLPHIN;United States
AV8 Helicopters;;AVK;AVIATE-COPTER;South Africa
AV8 Helicopters;;AVH;KENT HELI;United Kingdom
Avag Air;;MBA;AVAG AIR;Austria
Avalair;;VAI;AIR AVALAIR;Serbia
Avanti Air;;ATV;AVANTI AIR;Germany
AVB-2004 Ltd;;VBC;AIR VICTOR;Bulgaria
AVC Airlines;;MZK;;Japan
Avcard Services;;ACC;;United Kingdom
Avcenter;;TTE;TETON;United States
AVCOM;J6;AOC;AERO AVCOM;Russia
Avcorp Registrations;;AVP;AVCORP;United Kingdom
Ave.com;;PHW;PHOENIX SHARJAH;United Arab Emirates
Avensa;VE;AVE;Avensa;Venezuela
Averitt Air Charter;;VRT;AVERITT;United States
AVESCA;;VSC;AVESCA;Colombia
Avfinity;;UTX;;United States
Avia Air N.V.;;ARB;AVIAIR;Aruba
Avia Business Group;;AUP;;Russia
Avia Consult Flugbetriebs;;AJF;AVIACONSULT;Austria
Avia Jaynar;;SAP;TOBOL;Kazakhstan
Avia Sud A;;AVU;AVIASUD;France
Avia Traffic Company;;AVJ;ATOMIC;Kyrgyzstan
Avia Trans Air Transport;;VTT;VIATRANSPORT;Sudan
Aviabus;U1;ABI;;Russia
Aviacao Transportes Aereos e Cargas;;VTG;ATACARGO;Angola
Aviacion Comercial de America;;VME;AVIAMERICA;Mexico
Aviacion Del Noroeste;;ANW; S.A. de C.V.;AVINOR
Aviacion Ejecutiva De Hildago;;HID;EJECUTIVA HIDALGO;Mexico
Aviacion Ejecutiva Mexicana;;AVM; S.A.;AVEMEX
Aviacon Zitotrans Air Company;;AZS;ZITOTRANS;Russia
Aviaexpress;RX;AEH;Avex;Hungary
Aviaexpress Aircompany;;VXX;EXPRESSAVIA;Ukraine
Aviaexpresscruise;E6;\N;;Russia
Aviainvest;;IWS;;Russia
Aviair Aviation Ltd.;;AVF;CARIBOO;Canada
Avial NV Aviation Company;;NVI;NEW AVIAL;Russia
Avialeasing Aviation Company;EC;TWN;TWINARROW;Uzbekistan
Avialesookhrana;;FFA;AVIALESOOKHRANA;Russia
Avialift Vladivostok;;VLV;VLADLIFT;Russia
Avialsa T-35;;AVS;AVIALSA;Spain
Avianca - Aerovias Nacionales de Colombia;AV;AVA; S.A.;AVIANCA
Aviance;;GHL;HANDLING;United Kingdom
Avianergo;;ERG;AVIANERGO;Russia
Avianova (Russia);AO;\N;Nova;Russia
Aviapartner Limited Company;;OSO;;Russia
Aviapaslauga;;AVX;PASLAUGA;Lithuania
Aviaprad;;VID;AVIAPRAD;Russia
Aviaprom Enterprises;;XAV;AVIAPROM;Russia
Aviaservice;;BIV;AVIASERVICE;Georgia
Aviast Air;;VVA;IALSI;Russia
Aviastar-Tu;;TUP;TUPOLEVAIR;Russia
Aviateca;;GUG;AVIATECA;Guatemala
Aviation Amos;;AMJ;AVIATION AMOS;Canada
Aviation at Work;;AVO;AVIATION WORK;South Africa
Aviation Beaufort;;AVB;BEAUPAIR;United Kingdom
Aviation Charter Services;;CKL;CIRCLE CITY;United States
Aviation Company Meridian;;MMM;AVIAMERIDIAN;Russia
Aviation Consultancy Office;;QEA;;Australia
Aviation Data Systems;;FBW;;United States
Aviation Defense Service;;DEF;TIRPA;France
Aviation Legere De L'Armee De Terre;;FMY;FRENCH ARMY;France
Aviation Management Corporation;;AAM;AM CORP;United States
Aviation Ministry of the Interior of the Russian Federation;;RIF;INTERMIN AVIA;Russian Federation
Aviation North;;WLV;WOLVERINE;United States
Aviation Partners;;WLT;WINGLET;United States
Aviation Quebec Labrador;;QLA;QUEBEC LABRADOR;Canada
Aviation Services;;AVQ; Inc.;AQUILINE
Aviator Airways;;AVW;AVIATOR;Greece
Aviavilsa;;LVR;AVIAVILSA;Lithuania
Aviaxess;;AXV;AXAVIA;France
Aviazur;;VZR;IAZUR;France
Avient Air Zambia;;VNT;AVIENT;Zambia
Avient Aviation;Z3;SMJ;AVAVIA;Zimbabwe
Avies;U3;AIA;AVIES;Estonia
Avilu;..;...;;Switzerland
Avinor;;HQO;;Norway
Avio Nord;;FNM;;Italy
Avio Sluzba;;SLU;AVIO SLUZBA;Serbia
Aviodetachment-28;;BGF;BULGARIAN;Bulgaria
Aviogenex;;AGX;GENEX;Serbia
Avioimpex A.D.p.o.;;AXX;IMPEX;Macedonia
Avion Taxi;;ADQ;AIR DATA;Canada
Aviones Are;;NRE;AVIONES ARE;Mexico
Aviones de Renta de Quintana Roo;;AQT; S.A. de C.V.;AVIOQUINTANA
Aviones de Sonora;;ADS;SONORAV;Mexico
Aviones Para Servirle;;PSG;SERVIAVIONES;Mexico
Aviones Unidos;;AUN;AVIONES UNIDOS;Mexico
Avior Airlines;;ROI;AVIOR;Venezuela
Aviostart AS;;VSR;AVIOSTART;Bulgaria
Avirex;G2;VXG;AVIREX-GABON;Gabon
Avita-Servicos Aereos;;ITF;AIR AVITA;Angola
Avitat;;ESO;;United Kingdom
Avjet International (FZE);;VJE;;United Arab Emirates
Avolar Aerolineas;V5;VLI;AEROVOLAR;Mexico
Avstar Aviation;;VSA;STARBIRD;South Africa
Awesome Flight Services (PTY) Ltd.;;ASM;AWESOME;South Africa
Awood Air Ltd.;;AWO;AWOOD AIR;Canada
Aws express;B0;666;aws;United States
Awsaj Aviation Services;;AYS;;Libya
Axel Rent;;AXR; S.A.;RENTAXEL
Axis Airways;6V;AXY;AXIS;France
Ayeet Aviation & Tourism;;AYT;AYEET;Israel
Aykavia Aircompany;;AYK;;Armenia
Azal Avia Cargo;;AHC;AZALAVIACARGO;Azerbaijan
Azalhelikopter;;AZK;AZALHELICOPTER;Azerbaijan
Azamat;;AZB;TUMARA;Kazakhstan
Azerbaijan Airlines;J2;AHY;AZAL;Azerbaijan
Azimut;;AZT; S.A.;AZIMUT
Azov Avia Airlines;;AZV;AZOV AVIA;Ukraine
Aztec Worldwide Airlines;7A;;;United States
Azul;AD;AZU;;Brazil
Azza Transport;;AZZ;AZZA TRANSPORT;Sudan
Azzurra Air;;AZI;AZZURRA;Italy
B&H Airlines;JA;BON;Air Bosna;Bosnia and Herzegovina
BA CityFlyer;CJ;CFE;FLYER;United Kingdom
BA Connect;TH;;;United Kingdom
BA101;;710;;United Kingdom
BAC Express Airlines;;RPX;RAPEX;United Kingdom
BAC Leasing Limited;;BAC; ;United Kingdom
BACH Flugbetriebsges;B4;BCF;BACH;Austria
Badr Airlines;;BDR;BADR AIR;Sudan
BAE Systems;;BAE;FELIX;United Kingdom
BAE Systems;;WTN;TARNISH;United Kingdom
BAE Systems;;WFD;AVRO;United Kingdom
BAE Systems Flight Training;;BAZ;;Australia
Bahamasair;UP;BHS;BAHAMAS;Bahamas
Bahrain Air BSC (Closed);;BAB;AWAL;Bahrain
Bahrain Defence Force;;BFW;SUMMAN;Bahrain
Bahrain Executive Air Services;;BXA;BEXAIR;Bahrain
Baikotovitchestrian Airlines ;BU;BUU;;American Samoa
Baja Air;;BJA;BAJA AIR;Mexico
Baker Aviation;8Q;BAJ;BAKER AVIATION;United States
Bakoji Airlines Services;;OGJ;BAKO AIR;Nigeria
BAL Bashkirian Airlines;V9;BTC;BASHKIRIAN;Russia
Balear Express;;BEF;BALEAR EXPRESS;Spain
Bali International Air Service;;BLN;BIAR;Indonesia
Balkan Agro Aviation;;BAA;BALKAN AGRO;Bulgaria
Balkan Bulgarian Airlines;LZ;;;
Balkh Airlines;;BHI;SHARIF;Afghanistan
Balmoral Central Contracts;;PNT;PORTNET;South Africa
Baltia Air Lines;;BTL;BALTIA FLIGHT;United States
Baltic Air lines;B1;BA1;Baltic;Latvia
Baltic Airlines;;BLL;BALTIC AIRLINES;Russia
Baltic Aviation;;BLT;BALTAIR;United States
Baltic Jet Aircompany;;BJC;BALTIC JET;Latvia
Baltijas Helicopters;;BTH;BALTIJAS HELICOPTERS;Latvia
Baltimore Air Transport;;CPJ;CORPJET;United States
Baltimore Airways;;EAH;EASTERN;United States
Baltyka;;BTK;BALTYKA;Ukraine
Banco de Mexico;;BMX;BANXICO;Mexico
Bancstar - Valley National Corporation;;BNS;BANCSTAR;United States
Bangkok Airways;PG;BKP;BANGKOK AIR;Thailand
Bangkok Aviation Center;;HAW;THAI HAWK;Thailand
Bankair;B4;BKA;BANKAIR;United States
Bannert Air;;BBA;BANAIR;Austria
Bar Harbor Airlines;;AJC;BAR HARBOR;United States
Bar XH Air;;BXH;PALLISER;Canada
Barents AirLink;8N;NKF;NORDFLIGHT;Sweden
Barken International;;BKJ;BARKEN JET;United States
Barnes Olsen Aeroleasing;;CLN;SEELINE;United Kingdom
Baron Aviation Services;;BVN;SHOW-ME;United States
BASE Regional Airlines;;BRO;COASTRIDER;Netherlands
Baseops International;;XBO;;United States
Basler Flight Service;;BFC;BASLER;United States
Bassaka airlines;5B;BSX;5B;Cambodia
Bateleur Air;;BEU;;South Africa
BAX Global;8W;;;
Bay Aviation Ltd;;BAV;BAY AIR;Bangladesh
Bayon Airlines;;BAY;BAYON;Cambodia
Bayu Indonesia Air;BM;BYE;BAYU;Indonesia
BBN-Airways;;EGH;BBN;United Kingdom
BCT Aviation;;BCT;BOBCAT;United Kingdom
Bear Flight;;BFG;BEARFLIGHT;Sweden
Bearing Supplies Limited;;PVO;PROVOST;United Kingdom
Bearskin Lake Air Service;JV;BLS;BEARSKIN;Canada
Beibars CJSC;;BBS;BEIBARS;Kazakhstan
Bel Air Helicopters;;BEH;BLUECOPTER;Denmark
Bel Limited;;FOS;;Russia
Belair Airlines;4T;BHP;BELAIR;Switzerland
Belavia Belarusian Airlines;B2;BRU;BELARUS AVIA;Belarus
Belgavia;;BLG;BELGAVIA;Belgium
Belgian Air Force;;BAF;BELGIAN AIRFORCE;Belgium
Belgian Army;;AYB;BELGIAN ARMY;Belgium
Belgian Navy;;NYB;BELGIAN NAVY;Belgium
Belgorod Aviation Enterprise;;BED;BELOGORYE;Russia
Bell Helicopter Textron;;TXB;TEXTRON;Canada
Belle Air;;LBY;ALBAN-BELLE;Albania
Bellesavia;;BLC;BELLESAVIA;Belarus
Bellview Airlines;B3;BLV;BELLVIEW AIRLINES;Nigeria
Bellview Airlines;;BVU; Sierra Leone;
Bemidji Airlines;CH;BMJ;BEMIDJI;United States
Benair;;HAX;SCOOP;Norway
Benane Aviation Corporation;;BNV;BENANE;Mauritania
Benders Air;;PEB;PALEMA;Sweden
Benin Golf Air;A8;BGL;BENIN GOLF;Benin
Benin Littoral Airways;;LTL;LITTORAL;Benin
Benina Air;;BNE;BENINA AIR;Libya
Bentiu Air Transport;;BNT;BENTIU AIR;Sudan
Bergen Air Transport;;BGT;BERGEN AIR;Norway
Bering Air;8E;BRG;BERING AIR;United States
Berjaya Air;J8;BVT;BERJAYA;Malaysia
Berkhut ZK;;BPK;VENERA;Kazakhstan
Berkut Air;;BEK;BERKUT;Kazakhstan
Berry Aviation;;BYA;BERRY;United States
Berytos Airlines;;BYR;;Lebanon
Best Aero Handling Ltd;;BAX;;Russia
Best Air;;BST;TUNCA;Turkey
Best Aviation Ltd;;BEA;BEST AIR;Bangladesh
BETA - Brazilian Express Transportes Aereos;;BET;BETA CARGO;Brazil
BF-Lento OY;;BKF;BAKERFLIGHT;Finland
BGB Air;;POI;BOJBAN;Kazakhstan
BH Air;;BGH;BALKAN HOLIDAYS;Bulgaria
Bhoja Airlines;;BHO;BHOJA;Pakistan
Big Island Air;;BIG;BIG ISLE;United States
Big Sky Airlines;GQ;BSY;BIG SKY;United States
Bighorn Airways;;BHR;BIGHORN AIR;United States
Billund Air Center;;BIL;BILAIR;Denmark
Biman Bangladesh Airlines;BG;BBC;BANGLADESH;Bangladesh
Binair;;BID;BINAIR;Germany
Bingo Airways;;BGY;;Poland
Binter Canarias;NT;IBB;;Spain
Bird Leasing;;BIR;BIRD AIR;United States
Birmingham European;VB;\N;;United Kingdom
Bismillah Airlines;5Z;BML;BISMILLAH;Bangladesh
Bissau Aero Transporte;;BSS;BISSAU AIRSYSTEM;Guinea-Bissau
Bissau Airlines;;BAU;AIR BISSAU;Guinea-Bissau
Bissau Discovery Flying Club;;BDF;BISSAU DISCOVERY;Guinea-Bissau
Bistair - Fez;;BSC;BIG SHOT;Kyrgyzstan
Biz Jet Charter;;VLX;AVOLAR;United States
Bizair Fluggesellschaft;;BZA;BERLIN BEAR;Germany
Bizjet Ltd;;BIZ;BIZZ;United Kingdom
BKS Air (Rivaflecha);;CKM;COSMOS;Spain
Black Stallion Airways;BZ;BSA;Stallion;United States
Blackhawk Airways;;BAK;BLACKHAWK;United States
Blom Geomatics;;LED;SWEEPER;Norway
Blue Air;0B;JOR;BLUE TRANSPORT;Romania
Blue Airlines;;BUL;BLUE AIRLINES;Democratic Republic of the Congo
Blue Airways;;BLM;BLUE ARMENIA;Armenia
Blue Bird Aviation;;BLB;BLUEBIRD SUDAN;Sudan
Blue Bird Aviation;;BBZ;COBRA;Kenya
Blue Chip Jet;;VOL;BLUE SPEED;Sweden
Blue Dart Aviation;BZ;BDA;BLUE DART;India
Blue Horizon Travel Club;;BLH;BLUE HORIZON;United States
Blue Islands;;BCI;BLUE ISLAND;United Kingdom
Blue Jet;;BLJ;BLUEWAY;Spain
Blue Line;;BLE;BLUE BERRY;France
Blue Nile Ethiopia Trading;;BNL;NILE TRADING;Ethiopia
Blue Panorama Airlines;BV;BPA;BLUE PANOROMA;Italy
Blue Sky Airways;;BSW;SKY BLUE;Czech Republic
Blue Sky America;BU;BKY;;United States
Blue Sky Aviation;;BSM;;Lebanon
Blue Star Airlines;;BSD;AIRLINES STAR;Mexico
Blue Swann Aviation;;BSJ;BLUE SWANN;United Kingdom
Blue Wing Airlines;;BWI;BLUE TAIL;Suriname
Blue Wings;QW;BWG;BLUE WINGS;Germany
Blue1;KF;BLF;BLUEFIN;Finland
Bluebird Airways (BZ);;BBG;;Greece
Bluebird Cargo;BF;BBD;BLUE CARGO;Iceland
bmi;BD;BMA;MIDLAND;United Kingdom
bmibaby;WW;BMI;BABY;United Kingdom
BMW;;BMW;BMW-FLIGHT;Germany
BN Group Limited;;BNG;VECTIS;United Kingdom
Bobb Air Freight;1;\N;;Germany
Boeing;;BOE;BOEING;United States
Boise Interagency Fire Center;;BIN;BISON-AIR;United States
Boliviana de Aviacion (OB);;BOV;BOLIVIANA;Bolivia
Bombardier;;BFO;BOMBARDIER;Canada
Bombardier Business Jet Solutions;;LXJ;FLEXJET;United States
Bonair Aviation;;BNR;BONAIR;Canada
Bond Air Services;;BOD;UGABOND;Uganda
Bond Air Services;;RHD;RED HEAD;United Kingdom
Bond Aviation;;EBA;BOND AVIATION;Italy
Bond Offshore Helicopters;;BND;BOND;United Kingdom
Boniair;;BOA;KUMANOVO;Macedonia
Bonus Aviation;;BPT;BONUS;United Kingdom
Bonyad Airlines;;IRJ;BONYAD AIR;Iran
Bookajet Limited;;BOO;BOOKAJET;United Kingdom
Bordaire;;BOF;BORDAIR;Canada
Boscombe Down DERA (Formation);;RRS;BLACKBOX;United Kingdom
Boskovic Air Charters Limited;;ZBA;BOSKY;Kenya
Bosphorus European Airways;;BHY;BOSPHORUS;Turkey
Boston-Maine Airways;E9;CXS;CLIPPER CONNECTION;United States
Botir-Avia;;BTR;BOTIR-AVIA;Kyrgyzstan
Bouraq Indonesia Airlines;BO;BOU;BOURAQ;Indonesia
Boutique Air (Priv);4B;BTQ;;United States
Bowman Aviation;;BMN;BOWMAN;United States
BQB Lineas Aereas;5Q;\N;;Uruguay
Braathens;BU;BRA;Braathens;Norway
Bradly Air (Charter) Services;;BAR;BRADLEY;Canada
Braniff International Airways;BN;BNF;Braniff;United States
Branson Airlines;;BRN;BRANSON;United States
Brasair Transportes Aereos;;BSI;BRASAIR;Brazil
BRA-Transportes Aereos;7R;BRB;BRA-TRANSPAEREOS;Brazil
Bravo Air Congo;K6;BRV;BRAVO;Democratic Republic of the Congo
Bravo Airlines;;BBV;BRAVO EUROPE;Spain
BRAZIL AIR;GB;BZE;BRAZIL AIR;Brazil
Brazilian Air Force;;BRS;BRAZILIAN AIR FORCE;Brazil
Brazilian Army Aviation;;EXB;BRAZILIAN ARMY;Brazil
Brazilian Navy Aviation;;MBR;BRAZILIAN NAVY;Brazil
Breeze Ltd;;BRE;AVIABREEZE;Ukraine
Briansk State Air Enterprise;;BRK;BRIANSK-AVIA;Russia
Briggs Marine Environmental Services;;BME;BRIGGS;United Kingdom
Bright Air;;BHT;BRIGHTAIR;Netherlands
Bright Aviation Services;;BRW;BRIGHT SERVICES;Bulgaria
Bringer Air Cargo Taxi Aereo;E6;;;Brazil
Bristol Flying Centre;;CLF;CLIFTON;United Kingdom
Bristow Helicopters;;BHL;BRISTOW;United Kingdom
Bristow Helicopters Nigeria;;BHN;BRISTOW HELICOPTERS;Nigeria
Bristow Masayu Helicopters;;BMH;MASAYU;Indonesia
Brit Air;DB;BZH;BRITAIR;France
Britannia Airways;;BAL;BRITANNIA;United Kingdom
British Air Ferries;??;??!;;United Kingdom
British Airways;BA;BAW;SPEEDBIRD;United Kingdom
British Airways;;XMS;SANTA;United Kingdom
British Airways Shuttle;;SHT;SHUTTLE;United Kingdom
British Antarctic Survey;;BAN;PENGUIN;United Kingdom
British Caribbean Airways;;BCL;;United Kingdom
British Charter;;BCR;BACKER;United Kingdom
British Gulf International;;BGI;BRITISH GULF;S
British Gulf International-Fez;;BGK;GULF INTER;Kyrgyzstan
British International Helicopters;BS;BIH;BRINTEL;United Kingdom
British Medical Charter;;BMD;BRITISH MEDICAL;United Kingdom
British Mediterranean Airways;KJ;LAJ;BEE MED;United Kingdom
British Midland Regional;;BMR;;United Kingdom
British North West Airlines;;BNW;BRITISH NORTH;United Kingdom
British Petroleum Exploration;;BPX;;Colombia
British Regional Airlines;;BRT;BRITISH;United Kingdom
British Sky Broadcasting;;SKH;SKYNEWS;United Kingdom
Brock Air Services;;BRD;BROCK AIR;Canada
Brussels Airlines;SN;DAT;BEE-LINE;Belgium
Brussels International Airlines;;BXI;XENIA;Belgium
BT-Slavuta;;BTT;BEETEE-SLAVUTA;Ukraine
Budapest Aircraft Services/Manx2;;BPS;BASE;Hungary
Buddha Air;;BHA;BUDDHA AIR;Nepal
Budget Air Bangladesh;;BGR;BUDGET AIR;Bangladesh
BudgetAir;1K;BG1;;Germany
Buffalo Airways;J4;BFL;BUFFALO;Canada
Buffalo Airways;;BVA;BUFFALO AIR;United States
Buffalo Express Airlines;;BRX;BUFF EXPRESS;United States
Bugulma Air Enterprise;;BGM;BUGAVIA;Russia
Bukovyna;;BKV;BUKOVYNA;Ukraine
Bulgaria Air;FB;LZB;FLYING BULGARIA;Bulgaria
Bulgarian Aeronautical Centre;;BVC;BULGARIAN WINGS;Bulgaria
Bulgarian Air Charter;;BUC;BULGARIAN CHARTER;Bulgaria
Bundepolizei-Fliegertruppe;;BPO;PIROL;Germany
Buquebus Líneas Aéreas;BQ;BQB;;Uruguay
Bureau Veritas;;XDA;;France
Burkina Airlines;;BFR;BURKLINES;Burkina Faso
Burundaiavia;;IVR;RERUN;Kazakhstan
Burundayavia;;BRY;BURAIR;Kazakhstan
Buryat Airlines Aircompany;;BUN;BURAL;Russia
Business Air Services;;BAM;BUSINESS AIR;Canada
Business Airfreight;;RLR;RATTLER;United States
Business Aviation;4P;\N;AFRICAN BUSINESS;Congo (Kinshasa)
Business Aviation Center;;BCV;BUSINESS AVIATION;Ukraine
Business Express;;GAA;BIZEX;United States
Business Express Delivery;;EXP;EXPRESS AIR;Canada
Business Flight Salzburg;;AUJ;AUSTROJET;Austria
Business Flight Sweden;;BFS;BUSINESS FLIGHT;Sweden
Business Jet Solutions;;BJS;SOLUTION;United States
Business Jet Sweden;;SCJ;SCANJET;Sweden
BusinessAir;8B;BCC;;Thailand
Butane Buzzard Aviation Corporation;;BZZ;BUZZARD;United Kingdom
Butte Aviation;;PPS;PIPESTONE;United States
buzz;UK;BUZ;\N;\N
Buzz Stansted;;BUZ;BUZZ;United Kingdom
Buzzaway Limited;;UKA;UKAY;United Kingdom
BVI Airways;XV;\N;;British Virgin Islands
BWA (2002) Ltd;;BWL;BRITWORLD;United Kingdom
Bylina Joint-Stock Company;;BYL;BYLINA;Russia
C Air Jet Airlines;;SRJ;SYRJET;Syrian Arab Republic
C and M Aviation;;TIP;TRANSPAC;United States
C N Air;;ORO;CAPRI;Spain
C&M Airways;;RWG;RED WING;United States
C.S.P.;;RMU; Societe;AIR-MAUR
Cabair College of Air Training;;CBR;CABAIR;United Kingdom
CABI;;CBI;CABI;Ukraine
Cabo Verde Express;;CVE;KABEX;Cape Verde
Caernarfon Airworld;;CWD;AMBASSADOR;United Kingdom
CAI;;CPI;AIRCAI;Italy
Cairo Air Transport Company;;CCE;;Egypt
CAL Cargo Air Lines;5C;ICL;CAL;Israel
Cal Gulf Aviation;;CGC;CAL-GULF;Sao Tome and Principe
California Air Shuttle;;CSL;CALIFORNIA SHUTTLE;United States
California Western;KT;CWS;;United States
Calima Aviacion;XG;CLI;CALIMA;Spain
Calm Air;MO;CAV;CALM AIR;Canada
Cal-West Aviation;;REZ;CAL AIR;United States
CAM Air Management;;CMR;CAMEO;United Kingdom
Camai Air;R9;CAM;AIR CAMAI;United States
Camair-co;QC;\N;;Cameroon
Cambodia Airlines;;KHM;CAMBODIA AIRLINES;Cambodia
Cambodia Angkor Air (K6);K6;\N;;Cambodia
Cameroon Airlines;UY;UYC;CAM-AIR;Cameroon
Campania Helicopteros De Transporte;;HSO;HELIASTURIAS;Spain
Canada Jet Charters;;PIL;PINNACLE;Canada
Canadian Airlines;CP;CDN;CANADIAN;Canada
Canadian Coast Guard;;CTG;CANADIAN COAST GUARD;Canada
Canadian Eagle Aviation;;HIA;HAIDA;Canada
Canadian Forces;;CFC;CANFORCE;Canada
Canadian Global Air Ambulance;;BZD;BLIZZARD;Canada
Canadian Helicopters;;CDN;CANADIAN;Canada
Canadian Interagency Forest Fire Centre;;TKR;TANKER;Canada
Canadian National Airways;CN;YCP;CaNational;Canada
Canadian National Telecommunications;;XNC;;Canada
Canadian North;5T;MPE;EMPRESS;Canada
Canadian Regional Airlines;;CDR;CANADIAN REGIONAL;Canada
Canadian Warplane Heritage Museum;;CWH;WARPLANE HERITAGE;Canada
Canadian Western Airlines;W2;CWA;CANADIAN WESTERN;Canada
Canadian World;10;CNN;Canadian;Canada
Canair;;CWW;CANAIR;China
Canaryfly;;CNF;;Spain
Cancun Air;;CUI;CAN-AIR;Mexico
CanJet;C6;CJA;CANJET;Canada
CanXplorer;C2;CAP;;Canada
CanXpress;C1;CA1;CAX;Canada
Cape Air;9K;KAP;CAIR;United States
Cape Air Transport;;CTO;;Australia
Cape Central Airways;;SEM;SEMO;United States
Cape Smythe Air;;CMY;CAPE SMYTHE AIR;United States
Capital Air Service;;CPX;CAPAIR;United States
Capital Airlines;;CPD;CAPITAL DELTA;Kenya
Capital Airlines Limited;;NCP;CAPITAL SHUTTLE;Nigeria
Capital Cargo International Airlines;PT;CCI;CAPPY;United States
Capital City Air Carriers;;CCQ;CAP CITY;United States
Capital Trading Aviation;;EGL;PRESTIGE;United Kingdom
Capitol Air Express;;CEX;CAPITOL EXPRESS;United States
Capitol Wings Airline;;CWZ;CAPWINGS;United States
Caravan Air;;VAN;CAMEL;Mauritania
Cardiff Wales Flying Club;;CWN;CAMBRIAN;United Kingdom
Cardinal/Air Virginia;;FVA;AIR VIRGINIA;United States
Cardolaar;;GOL;CARGOLAAR;Namibia
Cards Air Services;;CDI;CARDS;Philippines
Care Flight;;CFH;CARE FLIGHT;Australia
Carga Aerea Dominicana;;CDM;CARGA AEREA;Dominican Republic
Carga Express Internacional;;EST;CARGAINTER;Mexico
Cargo 360;GG;GGC;LONG-HAUL;United States
Cargo Express;;MCX;MAURICARGO;Mauritania
Cargo Ivoire;;CRV;CARGOIV;Ivory Coast
Cargo Link (Caribbean);;CLM;CARGO LINK;Barbados
Cargo Plus Aviation;8L;CGP;;United Arab Emirates
Cargo Three;;CTW;THIRD CARGO;Panama
Cargoitalia;2G;CRG;WHITE PELICAN;Italy
Cargojet Airways;W8;CJT;CARGOJET;Canada
Cargolux;CV;CLX;CARGOLUX;Luxembourg
Cargoman;;CGM;HOTEL CHARLIE;Oman
Carib Aviation;;DEL;RED TAIL;Antigua and Barbuda
Carib Express;;BCB;WAVEBIRD;Barbados
Caribair;;CBC;CARIBAIR;Dominican Republic
Caribbean Air Cargo;;DCC;CARICARGO;Barbados
Caribbean Air Transport;;CLT;CARIBBEAN;Netherlands
Caribbean Airlines;BW;BWA;CARIBBEAN AIRLINES;Trinidad and Tobago
Caribbean Airways;;IQQ;CARIBJET;Barbados
Caribbean Express;;TLC;CARIB-X;United States
Caribbean Star Airlines;8B;GFI;CARIB STAR;Antigua and Barbuda
Caribbean Wings;XP;ZYZ;caribbean Wings;Turks and Caicos Islands
Caribintair;;CRT;CARIBINTAIR;Haiti
CARICOM AIRWAYS (BARBADOS) INC.;;CCB;;Barbados
Carill Aviation;;CVG;CARILL;United Kingdom
Carnival Air Lines;KW;\N;Carnival Air;United States
Carpatair;V3;KRP;CARPATAIR;Romania
Carpatair Flight Training;;SMW;Smartwings;Romania
Carranza;;CRR;CARRANZA;Chile
Carroll Air Service;;ULS;ULSTER;United States
Casement Aviation;;CMT;CASEMENT;United States
Casino Airline;;CSO;CASAIR;United States
